Wavelength, nm - Plot 0	I, A - Plot 0	
305	3.06678E-6	
310	2.87296E-6	
315	2.74187E-6	
320	2.65438E-6	
325	2.84296E-6	
330	2.56823E-6	
335	2.49381E-6	
340	2.44468E-6	
345	2.41473E-6	
350	2.42545E-6	
355	2.33391E-6	
360	2.2798E-6	
365	2.24835E-6	
370	2.22732E-6	
375	2.19305E-6	
380	2.18031E-6	
385	2.1752E-6	
390	2.13645E-6	
395	2.10719E-6	
400	2.08628E-6	
405	2.06958E-6	
410	2.04719E-6	
415	2.03104E-6	
420	2.04502E-6	
425	1.99284E-6	
430	1.97396E-6	
435	1.94517E-6	
440	1.91772E-6	
445	2.49795E-6	
450	2.86562E-6	
455	2.39161E-6	
460	2.35226E-6	
465	2.19504E-6	
470	2.14468E-6	
475	2.06827E-6	
480	2.02237E-6	
485	1.9872E-6	
490	1.94135E-6	
495	1.90532E-6	
500	1.87324E-6	
505	1.84075E-6	
510	1.81389E-6	
515	1.78324E-6	
520	1.75552E-6	
525	1.73325E-6	
530	1.70439E-6	
535	1.68521E-6	
540	1.6631E-6	
545	1.44906E-6	
550	1.6526E-6	
555	1.61635E-6	
560	1.59221E-6	
565	1.57194E-6	
570	1.548E-6	
575	1.53852E-6	
580	1.51292E-6	
585	1.49791E-6	
590	1.48961E-6	
595	1.4707E-6	
600	1.46156E-6	
