Wavelength, nm - Plot 0	I, A - Plot 0	
305	1.38392E-5 
310	1.03641E-5	
315	8.85138E-6 
320	8.05443E-6	
325	7.48385E-6 
330	7.07535E-6	
335	6.70794E-6 
340	6.40896E-6	
345	6.17835E-6 
350	5.98193E-6	
355	5.80412E-6 
360	5.54608E-6	
365	5.42451E-6 
370	5.28331E-6	
375	5.16668E-6 
380	5.06392E-6	
385	4.96994E-6 
390	4.89182E-6	
395	4.78478E-6 
400	4.67328E-6	
405	4.57022E-6 
410	4.4691E-6	
415	4.39719E-6 
420	4.33358E-6	
425	4.2364E-6 
430	4.16582E-6	
435	4.0947E-6 
440	4.0493E-6	
445	3.96855E-6 
450	3.86185E-6	
455	3.82085E-6 
460	3.76796E-6	
465	3.70769E-6 
470	3.65213E-6	
475	3.59947E-6 
480	3.55959E-6	
485	3.51401E-6 
490	3.49004E-6	
495	3.45555E-6 
500	3.39939E-6
