Wavelength, nm - Plot 0	I, A - Plot 0	

305	4.88898E-6	
310	3.77105E-6	
315	3.23469E-6	
320	2.92962E-6	
325	2.73553E-6	
330	2.54343E-6	
335	2.40861E-6	
340	2.2911E-6 	
345	2.20153E-6	
350	2.1279E-6 	
355	2.06072E-6	
360	1.93729E-6	
365	1.87098E-6	
370	1.81287E-6	
375	1.7716E-6 	
380	1.71605E-6	
385	1.6696E-6 	
390	1.63075E-6	
395	1.5889E-6 	
400	1.55376E-6	
405	1.51747E-6	
410	1.4856E-6 	
415	1.46051E-6	
420	1.43038E-6	
425	1.40845E-6	
430	1.37718E-6	
435	1.34962E-6	
440	1.33588E-6	
445	1.32188E-6	
450	1.27588E-6	
455	1.26553E-6	
460	1.24178E-6	
465	1.21673E-6	
470	1.20208E-6	
475	1.17526E-6	
480	1.16213E-6	
485	1.14518E-6	
490	1.14162E-6	
495	1.12998E-6	
500	1.12495E-6	
