Wavelength, nm - Plot 0	I, A - Plot 0	
300	1.00003E-5	
305	4.75554E-6	
310	3.14963E-6	
315	2.62163E-6	
320	2.30973E-6	
325	2.07304E-6	
330	1.92194E-6	
335	1.7566E-6	
340	1.60629E-6	
345	1.48036E-6	
350	1.38009E-6	
355	1.294E-6	
360	1.18766E-6	
365	1.10174E-6	
370	1.01699E-6	
375	9.74135E-7	
380	1.05E-6	
385	8.55382E-7	
390	8.11703E-7	
395	7.70233E-7	
400	7.32152E-7	
405	6.97218E-7	
410	6.68473E-7	
415	6.4467E-7	
420	6.15841E-7	
425	5.96054E-7	
430	5.64908E-7	
435	5.4285E-7	
440	5.23473E-7	
445	5.07081E-7	
450	4.82814E-7	
455	4.71631E-7	
460	4.60227E-7	
465	4.42018E-7	
470	4.27184E-7	
475	4.21084E-7	
480	4.054E-7	
485	3.8972E-7	
490	3.80523E-7	
495	1.60918E-7	
500	1.09192E-7	
