Wavelength, nm - Plot 0	I, A - Plot 0	
300	1.97276E-8	
305	1.76418E-8	
310	1.83509E-8	
315	2.00443E-8	
320	2.19923E-8	
325	2.27793E-8	
330	2.50691E-8	
335	2.61023E-8	
340	2.93641E-8	
345	3.38721E-8	
350	4.01421E-8	
355	4.16121E-8	
360	4.41861E-8	
365	5.00171E-8	
370	4.85794E-8	
375	6.02363E-8	
380	6.91453E-8	
385	7.46449E-8	
390	8.89348E-8	
395	9.32263E-8	
400	8.95901E-8	
405	1.07994E-7	
410	1.09273E-7	
415	1.32974E-7	
420	1.33758E-7	
425	1.32997E-7	
430	1.44187E-7	
435	1.39367E-7	
440	1.55882E-7	
445	1.49688E-7	
450	1.4268E-7	
455	1.58075E-7	
460	1.38259E-7	
465	1.6928E-7	
470	1.70767E-7	
475	1.7541E-7	
480	1.60096E-7	
485	1.72551E-7	
490	1.92801E-7	
495	1.78051E-7	
500	1.80448E-7	
505	1.64938E-7	
510	1.72072E-7	
515	1.89154E-7	
520	1.90857E-7	
525	2.05915E-7	
530	2.19919E-7	
535	2.49278E-7	
540	2.56537E-7	
545	2.79819E-7	
550	3.1088E-7	
555	3.33584E-7	
560	3.65642E-7	
565	4.15053E-7	
570	4.91467E-7	
575	4.61164E-7	
580	5.60337E-7	
585	6.04457E-7	
590	5.92249E-7	
595	7.3069E-7	
600	7.32171E-7	
